Dates,Current Year (Flow in cumecs)
01-Jan-91,11.41
02-Jan-91,12.2
03-Jan-91,12.18
04-Jan-91,12.3
05-Jan-91,10.76
06-Jan-91,10.7
07-Jan-91,10.33
08-Jan-91,9.652
09-Jan-91,9.507
10-Jan-91,9.315
11-Jan-91,8.945
12-Jan-91,9.129
13-Jan-91,7.8
14-Jan-91,8.448
15-Jan-91,9.02
16-Jan-91,8.624
17-Jan-91,8.068
18-Jan-91,8.122
19-Jan-91,8.219
20-Jan-91,7.8
21-Jan-91,8.034
22-Jan-91,7.848
23-Jan-91,7.518
24-Jan-91,7.215
25-Jan-91,6.507
26-Jan-91,5.9
27-Jan-91,5.8
28-Jan-91,5.673
29-Jan-91,5.99
30-Jan-91,5.547
31-Jan-91,5.363
01-Feb-91,5.128
02-Feb-91,5.066
03-Feb-91,7.6
04-Feb-91,4.636
05-Feb-91,4.614
06-Feb-91,4.454
07-Feb-91,4.465
08-Feb-91,4.304
09-Feb-91,4.109
10-Feb-91,3.7
11-Feb-91,3.644
12-Feb-91,3.7
13-Feb-91,3.42
14-Feb-91,3.206
15-Feb-91,3.521
16-Feb-91,3.315
17-Feb-91,3.3
18-Feb-91,2.982
19-Feb-91,2.447
20-Feb-91,2.348
21-Feb-91,2.291
22-Feb-91,2.22
23-Feb-91,2.028
24-Feb-91,2
25-Feb-91,1.887
26-Feb-91,2.121
27-Feb-91,1.928
28-Feb-91,1.887
01-Mar-91,1.795
02-Mar-91,1.781
03-Mar-91,3.4
04-Mar-91,2.778
05-Mar-91,2.349
06-Mar-91,2.394
07-Mar-91,2.217
08-Mar-91,1.946
09-Mar-91,2.004
10-Mar-91,2.3
11-Mar-91,1.792
12-Mar-91,2
13-Mar-91,1.72
14-Mar-91,1.775
15-Mar-91,1.346
16-Mar-91,1.277
17-Mar-91,2.4
18-Mar-91,1.107
19-Mar-91,1.108
20-Mar-91,1.064
21-Mar-91,0.903
22-Mar-91,0.872
23-Mar-91,0.917
24-Mar-91,2.3
25-Mar-91,0.794
26-Mar-91,0.639
27-Mar-91,0.644
28-Mar-91,1
29-Mar-91,1.9
30-Mar-91,0.625
31-Mar-91,0.5
01-Apr-91,0.509
02-Apr-91,0.514
03-Apr-91,0.582
04-Apr-91,0.604
05-Apr-91,0.539
06-Apr-91,0.438
07-Apr-91,0.3
08-Apr-91,0.443
09-Apr-91,1.085
10-Apr-91,2.404
11-Apr-91,4.987
